Unnamed: 0,Age,Job,Credit amount,Duration,Sex_male,Housing_own,Housing_rent,Saving accounts_moderate,Saving accounts_quite rich,Saving accounts_rich,Checking account_moderate,Checking account_rich,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others
64,26,2,3181,24,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
65,48,2,5190,27,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False
66,29,2,2171,12,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
67,22,2,1007,12,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False
68,37,2,1819,36,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
69,25,2,2394,36,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
70,30,2,8133,36,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
71,46,1,730,7,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
72,51,3,1164,8,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
73,41,1,5954,42,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
74,40,3,1977,36,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False
75,66,3,1526,12,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
76,34,2,3965,42,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
77,51,2,4771,11,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False
78,39,1,9436,54,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
79,22,2,3832,30,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False
80,44,2,5943,24,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
81,47,2,1213,15,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False
82,24,1,1568,18,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
83,58,1,1755,24,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
84,52,1,2315,10,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
85,29,3,1412,12,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
86,27,2,1295,18,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
87,47,2,12612,36,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False
88,30,3,2249,18,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False
89,28,2,1108,12,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False
90,56,2,618,12,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
91,54,2,1409,12,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
92,33,1,797,12,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
93,20,2,3617,24,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False
94,54,2,1318,12,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False
95,58,2,15945,54,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
96,61,2,2012,12,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
97,34,2,2622,18,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False
98,36,2,2337,36,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False
99,36,3,7057,20,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False
100,41,1,1469,24,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False
101,24,2,2323,36,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False
102,24,2,932,6,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
103,35,2,1919,9,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False
104,26,2,2445,12,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
105,39,3,11938,24,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
106,39,3,6458,18,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
107,32,2,6078,12,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False
108,30,2,7721,24,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
109,35,2,1410,14,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False
110,31,2,1449,6,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False
111,23,2,392,15,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
112,28,1,6260,18,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False
113,25,2,7855,36,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
114,35,2,1680,12,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False
115,47,2,3578,48,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
116,30,3,7174,42,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
117,27,2,2132,10,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
118,23,2,4281,33,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
119,36,3,2366,12,True,True,False,False,True,False,True,False,True,False,False,False,False,False,False
120,25,2,1835,21,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
121,41,3,3868,24,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
122,24,1,1768,12,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
123,63,2,781,10,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
124,27,2,1924,18,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
125,30,2,2121,12,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
126,40,1,701,12,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
127,30,2,639,12,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False
128,34,3,1860,12,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False
129,29,2,3499,12,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
130,24,2,8487,48,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
131,29,2,6887,36,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False
132,27,1,2708,15,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False
133,47,2,1984,18,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
134,21,2,10144,60,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False
135,38,2,1240,12,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
136,27,2,8613,27,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False
137,66,1,766,12,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False
138,35,2,2728,15,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False
139,44,1,1881,12,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
140,27,0,709,6,True,True,False,False,False,True,False,True,True,False,False,False,False,False,False
141,30,3,4795,36,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
142,27,3,3416,27,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
143,22,2,2462,18,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False
144,23,2,2288,21,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
145,30,2,3566,48,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False
146,39,2,860,6,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
147,51,2,682,12,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
148,28,2,5371,36,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False
149,46,2,1582,18,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False
150,42,2,1346,6,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
151,38,2,1924,10,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
152,24,2,5848,36,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False
153,29,2,7758,24,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False
154,36,3,6967,24,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False
155,20,2,1282,12,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
156,48,2,1288,9,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False
157,45,1,339,12,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False
158,38,2,3512,24,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False
159,34,1,1898,6,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
160,36,2,2872,24,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False
161,30,2,1055,18,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
162,36,2,1262,15,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False
163,70,3,7308,10,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False
164,36,2,909,36,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False
165,32,2,2978,6,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False
166,33,2,1131,18,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
167,20,2,1577,11,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False
168,25,2,3972,24,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
169,31,2,1935,24,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False
170,33,2,950,15,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
171,26,2,763,12,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
172,34,3,2064,24,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
173,33,2,1414,8,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False
174,26,2,3414,21,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False
175,53,3,7485,30,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
176,42,2,2577,12,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False
177,52,2,338,6,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False
178,31,3,1963,12,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
179,65,2,571,21,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
180,28,2,9572,36,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
181,30,3,4455,36,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False
182,40,1,1647,21,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
183,50,2,3777,24,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False
184,36,2,884,18,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False
185,31,2,1360,15,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
186,74,3,5129,9,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
187,68,0,1175,16,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False
188,20,2,674,12,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False
189,33,2,3244,18,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
190,54,3,4591,24,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False
191,34,1,3844,48,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False
192,36,2,3915,27,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False
193,29,2,2108,6,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
194,21,2,3031,45,True,False,True,True,False,False,True,False,False,False,False,False,True,False,False
195,34,3,1501,9,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
196,28,2,1382,6,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
197,27,2,951,12,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False
198,36,2,2760,24,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False
199,40,3,4297,18,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False
200,52,2,936,9,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False
201,27,1,1168,12,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
202,26,2,5117,27,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
203,21,2,902,12,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
204,38,1,1495,12,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
205,38,3,10623,30,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
206,43,2,1935,12,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False
207,26,2,1424,12,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False
208,21,1,6568,24,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
209,55,2,1413,12,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False
210,33,2,3074,9,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
211,45,1,3835,36,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
212,50,2,5293,27,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
213,66,3,1908,30,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False
214,51,2,3342,36,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
215,39,1,932,6,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
216,31,2,3104,18,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
217,23,2,3913,36,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False
218,24,1,3021,24,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
219,64,2,1364,10,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
220,26,1,625,12,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False
221,23,2,1200,12,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
222,30,2,707,12,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
223,32,2,2978,24,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
224,30,2,4657,15,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
225,27,2,2613,36,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False
226,27,2,10961,48,True,True,False,False,False,True,True,False,False,False,False,False,True,False,False
227,53,3,7865,12,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
228,22,2,1478,9,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
229,22,2,3149,24,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
230,26,2,4210,36,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False
231,51,1,2507,9,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
232,35,2,2141,12,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False
233,25,1,866,18,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False
234,42,1,1544,4,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
235,30,3,1823,24,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
236,23,0,14555,6,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False
237,61,1,2767,21,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False
238,35,2,1291,12,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
239,39,2,2522,30,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
240,29,2,915,24,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
241,51,2,1595,6,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
242,24,2,4605,48,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
243,27,2,1185,12,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
244,35,1,3447,12,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
245,25,2,1258,24,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
246,52,2,717,12,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
247,35,2,1204,6,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False
248,26,2,1925,24,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False
249,22,2,433,18,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
250,39,1,666,6,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
251,46,1,2251,12,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
252,24,2,2150,30,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
253,35,2,4151,24,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False
254,24,2,2030,9,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False
255,27,1,7418,60,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False
256,35,1,2684,24,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
257,29,2,2149,12,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
258,23,2,3812,15,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
259,57,1,1154,11,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False
260,27,2,1657,12,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False
261,55,2,1603,24,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
262,36,3,5302,18,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
263,57,1,2748,12,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
264,32,1,1231,10,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
265,37,2,802,15,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False
266,36,2,6304,36,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
267,38,2,1533,24,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
268,45,3,8978,14,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
269,25,2,999,24,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
270,32,2,2662,18,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
271,37,2,1402,12,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
272,36,3,12169,48,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False
273,28,2,3060,48,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False
274,34,1,11998,30,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False
275,32,2,2697,9,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
276,26,2,2404,18,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
277,49,1,1262,12,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False
278,32,2,4611,6,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
279,29,3,1901,24,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False
280,23,2,3368,15,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False
281,50,2,1574,12,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False
282,49,1,1445,18,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False
283,63,2,1520,15,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False
284,37,2,3878,24,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False
285,35,1,10722,47,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
286,26,2,4788,48,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
287,31,3,7582,48,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True
288,49,2,1092,12,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
289,48,2,1024,24,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
290,26,2,1076,12,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
291,28,3,9398,36,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False
292,44,3,6419,24,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
293,56,2,4796,42,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
294,46,3,7629,48,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
295,26,2,9960,48,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
296,20,2,4675,12,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
297,45,1,1287,10,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
298,43,2,2515,18,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False
299,32,2,2745,21,True,True,False,False,False,True,True,False,False,False,False,True,False,False,False
300,54,0,672,6,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
301,42,2,3804,36,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
302,37,1,1344,24,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False
303,49,2,1038,10,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
304,44,2,10127,48,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
305,33,2,1543,6,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False
306,24,1,4811,30,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
307,33,1,727,12,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False
308,24,2,1237,8,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
309,22,1,276,9,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False
310,40,0,5381,48,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
311,25,2,5511,24,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False
312,26,2,3749,24,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
313,25,1,685,12,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False
314,29,1,1494,4,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False
315,31,2,2746,36,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False
316,38,1,708,12,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False
317,48,1,4351,24,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
318,32,2,701,12,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False
319,27,1,3643,15,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
320,28,3,4249,30,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False
321,32,2,1938,24,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
322,34,3,2910,24,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
323,28,2,2659,18,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False
324,36,2,1028,18,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
325,39,1,3398,8,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
326,49,2,5801,12,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
327,34,2,1525,24,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
328,31,2,4473,36,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False
329,28,2,1068,6,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False
330,75,3,6615,24,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
331,30,2,1864,18,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
332,24,3,7408,60,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False
333,24,1,11590,48,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False
